location,name,level,imgurl
Oceania,Fiji,country,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg
Europe,Finland,country,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg
Europe,France,country,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg
Africa,Gabon,country,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg
Africa,Gambia,country,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
Europe,Georgia,country,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
Europe,Germany,country,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg
Africa,Ghana,country,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
Europe,Greece,country,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
North America,Grenada,country,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg
North America,Guatemala,country,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg
Africa,Guinea,country,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg
Africa,Guinea-Bissau,country,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg
South America,Guyana,country,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg
North America,Haiti,country,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg
North America,Honduras,country,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg
Europe,Hungary,country,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg
Europe,Iceland,country,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg
Asia,India,country,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg
Asia,Indonesia,country,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg
Asia,Iran,country,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
Asia,Iraq,country,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg
